Product,Sub-product,Issue,Sub-issue,State,Company,Company response,Timely response?,Complaint ID,ZIP code
4,21,23,15,18,666,1,1,1282931,60659
3,25,83,28,32,494,3,1,1282971,27511
6,11,54,22,13,148,4,1,1282953,30019
2,25,19,22,40,729,2,1,1283223,43017
4,27,37,38,13,1077,1,1,1283214,30345
4,21,37,38,7,260,4,1,1283212,92663
3,25,49,32,51,494,1,1,1283232,84738
3,25,49,0,12,494,1,1,1283236,33326
0,4,1,22,7,1361,4,1,1283249,95823
3,25,83,29,43,504,3,1,1281385,15136
0,37,1,22,7,81,4,1,1280327,92845
8,25,15,22,50,1291,1,1,1281350,78224
3,25,49,20,7,1398,1,1,1279379,90249
4,25,23,15,40,489,3,1,1281097,45065
5,20,43,22,39,903,1,1,1279668,11229
3,25,49,32,7,494,4,1,1279375,92879
4,25,24,11,7,1304,1,1,1279371,94533
3,25,49,32,7,504,4,1,1279373,92879
3,25,49,20,50,1398,1,1,1279158,78403
4,25,24,11,52,996,1,1,1279135,23847
2,25,0,22,27,729,1,1,1281376,49006
4,25,24,14,7,291,1,1,1279816,92376
4,26,46,9,39,1363,1,1,1279451,11230
6,5,54,22,12,996,1,1,1279390,33324
3,25,31,23,39,504,4,1,1279632,11358
3,25,31,23,51,504,1,1,1279573,84532
8,25,21,22,40,490,1,1,1279716,43506
3,25,49,20,44,504,4,1,1279679,612
4,32,81,43,51,382,1,1,1280588,84405
3,25,49,20,8,494,4,1,1279883,80231
0,4,1,22,40,753,3,1,1280166,44889
3,25,83,28,21,504,3,1,1279975,40503
3,25,49,20,43,1398,1,1,1280370,19134
2,25,51,22,28,113,1,1,1280196,55118
6,11,54,22,19,579,4,1,1280317,46342
4,12,46,8,38,1401,4,1,1280301,89148
3,25,31,23,13,494,4,1,1280554,30122
3,25,49,20,50,494,1,1,1280397,79363
6,5,7,22,39,1247,1,1,1280441,10509
3,25,49,32,24,504,4,1,1280468,21239
4,27,23,6,17,54,1,1,1281405,83709
3,25,83,28,44,504,3,1,1280621,646
6,6,55,22,36,1498,1,1,1280795,8724
3,25,49,20,7,504,4,1,1280674,92501
3,25,31,17,27,504,4,1,1280786,48066
4,26,23,45,47,864,1,1,1280785,29303
4,21,23,45,12,311,1,1,1280419,32303
4,21,23,45,7,666,1,1,1281408,91405
4,27,37,25,9,227,1,1,1281274,6477
4,25,24,11,29,377,1,1,1281352,63130
3,25,31,31,22,504,4,1,1281390,71067
3,25,49,0,27,1398,1,1,1281386,48326
3,25,83,28,8,494,3,1,1281377,80026
3,25,49,20,12,494,1,1,1281399,34953
2,25,14,22,50,113,1,1,1281401,75248
1,42,80,22,50,865,0,1,1281407,75207
3,25,83,28,33,504,3,1,1281394,58565
4,25,24,11,32,954,0,1,1279764,28226
6,11,55,22,50,579,4,1,1280761,75227
4,7,81,44,7,729,1,1,1280724,91763
6,6,54,22,22,1303,1,1,1280777,70360
6,29,77,22,43,1498,1,1,1280748,19121
3,25,31,21,7,494,1,1,1280700,91423
4,7,23,46,7,1069,4,1,1280734,92571
3,25,49,0,7,504,3,1,1280655,93536
3,25,49,20,23,504,4,1,1280675,2338
4,27,24,11,22,1401,4,1,1280668,70403
4,1,37,38,55,983,4,1,1280798,98270
2,25,35,22,8,729,1,1,1279880,80231
0,4,58,22,12,729,1,1,1279766,33619
4,32,40,18,47,624,1,1,1281358,29841
4,25,24,11,55,724,0,1,1281354,98684
3,25,49,32,13,494,1,1,1281392,30096
3,25,49,1,12,504,4,1,1279592,32963
3,25,83,29,50,504,1,1,1279613,75034
6,29,63,22,12,198,4,1,1279583,32835
3,25,31,23,22,494,1,1,1279623,71280
4,25,24,11,55,423,0,1,1279550,98620
6,5,54,22,12,1329,1,1,1280802,32569
2,25,22,22,25,450,1,1,1279644,4609
0,0,1,22,8,81,4,1,1279533,92064
6,29,55,22,9,691,1,1,1279510,6611
1,42,60,22,36,81,4,1,1279660,8610
3,25,49,20,24,504,3,1,1279796,20653
2,25,13,22,50,312,1,1,1279487,75835
3,25,49,26,38,494,1,1,1280603,89521
2,25,45,22,36,195,1,1,1280819,7105
3,25,49,20,49,494,1,1,1281223,37204
3,25,49,26,29,504,1,1,1280508,63017
6,6,7,22,7,553,1,1,1280625,93619
4,7,24,11,7,377,1,1,1280520,95966
3,25,49,20,50,494,1,1,1280453,79414
4,7,24,11,7,1419,1,1,1280521,95966
3,25,47,36,24,494,1,1,1279070,21208
3,25,49,26,19,1398,3,1,1279450,46228
4,27,37,38,12,246,1,1,1280420,32303
3,25,49,20,50,504,4,1,1280396,79363
3,25,49,20,50,504,4,1,1280452,79414
3,25,30,5,19,504,4,1,1279982,46033
4,7,37,38,21,526,1,1,1280596,41006
3,25,83,28,52,494,1,1,1279460,22311
3,25,83,29,43,518,1,1,1280393,16502
3,25,83,28,32,504,1,1,1279723,28607
3,25,49,1,50,494,1,1,1280536,77068
5,10,43,22,50,903,4,1,1281360,78247
4,27,24,11,13,384,4,1,1281363,30062
4,32,23,45,40,490,1,1,1280320,43123
3,25,49,20,57,518,1,1,1280329,24901
4,27,24,11,18,377,1,1,1280264,62231
2,25,13,22,50,312,2,1,1280233,77498
4,32,46,9,50,981,0,1,1280287,78832
2,25,13,22,7,729,1,1,1280330,92833
3,25,31,23,12,504,1,1,1279149,33027
6,6,77,22,58,1261,1,1,1280184,82001
1,31,21,22,8,490,1,1,1279209,80239
3,25,49,0,55,494,1,1,1279217,98101
3,25,49,1,39,494,1,1,1279233,11412
4,25,24,11,52,577,1,1,1279134,23847
0,4,1,22,18,729,1,1,1279116,60461
3,25,49,20,30,494,1,1,1279152,39759
3,25,49,20,50,504,1,1,1279128,78664
4,27,24,13,18,1288,0,1,1279133,60532
4,25,37,38,43,954,3,1,1281341,16117
3,25,83,28,12,494,1,1,1279169,32174
1,19,80,22,30,1394,1,1,1279367,38756
4,32,81,44,12,291,1,1,1280195,33756
0,28,1,22,23,1229,4,1,1279933,2360
4,21,24,14,27,869,3,1,1282982,48186
4,26,24,11,39,1250,1,1,1282925,11550
3,25,49,20,7,494,4,1,1282949,90044
4,32,23,45,2,490,1,1,1283199,36695
0,28,1,22,28,1498,1,1,1279071,55128
3,25,30,27,36,504,1,1,1280085,7040
4,21,24,14,12,826,4,1,1280073,34473
0,4,36,22,38,81,4,1,1279995,89104
4,1,24,13,18,13,1,1,1280099,60563
4,25,23,15,39,468,1,1,1280013,13669
5,20,66,22,24,903,4,1,1280014,20901
0,4,72,22,39,1341,2,1,1280046,11205
3,25,47,36,6,494,1,1,1279984,85281
3,25,31,23,7,494,4,1,1280136,93021
4,21,24,14,12,311,1,1,1280069,34473
3,25,49,20,39,504,3,1,1281371,10573
4,21,37,25,39,658,1,1,1279925,14228
4,21,24,11,39,22,1,1,1279924,14228
6,29,55,22,29,996,1,1,1280827,64081
2,25,13,22,20,113,1,1,1280858,67880
6,6,55,22,12,996,1,1,1280841,33177
6,29,54,22,7,494,4,1,1280831,95476
3,25,49,20,8,504,4,1,1279881,80231
6,6,27,22,56,198,4,1,1280854,53224
1,42,73,22,55,81,4,1,1279822,98372
3,25,49,20,50,494,4,1,1279902,79549
4,12,24,11,12,80,3,1,1279889,32605
4,24,40,3,38,955,1,1,1280856,89121
3,25,49,20,50,504,4,1,1279901,79549
4,25,81,43,1,449,1,1,1279857,99567
3,25,49,20,47,494,1,1,1279866,29455
4,25,24,11,39,1022,1,1,1280880,12188
10,26,16,22,29,312,3,1,1277809,65731
3,25,31,23,36,494,4,1,1277407,7728
3,25,49,1,43,504,3,1,1277773,15210
4,27,24,13,24,1307,1,1,1278003,20721
4,21,40,3,50,1401,4,1,1277865,77632
4,21,23,45,52,1051,1,1,1277844,22193
6,6,55,22,13,1261,1,1,1277831,30265
4,21,37,25,50,1080,1,1,1277812,75116
3,25,49,26,55,504,3,1,1277840,98201
6,29,55,22,39,198,4,1,1278002,11771
0,28,1,22,23,1229,4,1,1277922,2343
4,27,23,45,25,1498,1,1,1277897,4631
4,24,23,15,40,1498,1,1,1277892,43123
4,27,24,14,12,409,3,1,1277887,34743
1,42,60,22,12,81,4,1,1278616,33172
4,25,37,24,36,463,3,1,1277983,8043
3,25,49,0,7,504,1,1,1277981,91508
6,11,54,22,52,955,1,1,1278121,23608
4,27,37,25,7,695,1,1,1278133,94124
3,25,83,29,18,494,1,1,1278109,60543
6,17,7,22,7,1419,1,1,1278041,90803
3,25,49,32,30,504,3,1,1278046,39571
6,11,54,22,52,955,1,1,1278122,23608
3,25,49,20,13,494,4,1,1278298,30554
3,25,49,32,40,504,3,1,1278143,44203
3,25,30,34,7,504,1,1,1278175,92176
3,25,49,35,7,504,4,1,1278315,91207
3,25,31,23,7,504,4,1,1278375,95138
6,11,54,22,39,579,4,1,1278577,11040
1,19,60,22,18,291,1,1,1278497,60406
3,25,31,17,7,504,4,1,1278654,93422
0,4,72,22,10,1498,2,1,1278496,20024
1,42,60,22,8,81,4,1,1278482,80903
4,21,24,14,6,1176,1,1,1278539,85086
4,27,24,14,42,468,1,1,1278525,97220
4,27,40,3,50,72,4,1,1278644,77345
0,4,36,22,43,1361,4,1,1278617,15068
6,5,54,22,12,1247,1,1,1278712,34689
3,25,49,0,52,504,4,1,1278685,23838
6,6,7,22,37,579,4,1,1278786,87102
2,25,22,22,7,279,1,1,1278720,90254
3,25,30,2,7,494,4,1,1278839,91416
3,25,31,23,12,504,1,1,1278830,33908
6,5,54,22,12,1247,1,1,1279300,32408
2,25,22,22,7,450,1,1,1279289,95060
4,7,23,15,6,505,1,1,1279324,85037
3,25,83,28,43,494,1,1,1279302,19149
3,25,31,31,18,494,4,1,1279315,60467
4,27,37,38,13,1163,1,1,1279330,30126
3,25,49,1,39,494,1,1,1279342,11224
2,25,12,22,18,729,1,1,1278511,61701
3,25,30,27,7,504,1,1,1278509,95822
4,21,24,14,12,274,1,1,1278536,32118
6,29,55,22,39,198,4,1,1278554,11435
3,25,49,1,12,494,4,1,1278341,33947
4,25,24,11,55,76,1,1,1278365,99101
4,7,24,13,42,864,1,1,1278373,97402
4,27,24,14,32,1164,1,1,1278316,28314
6,29,55,22,6,1419,1,1,1278318,85365
3,25,49,1,12,504,4,1,1278340,33947
6,6,7,22,53,112,1,1,1278407,20171
4,27,37,38,16,489,3,1,1279344,50266
2,25,0,22,7,729,1,1,1279329,94597
